MAG,Group,MOL
C047-M24_stoolx85.SR_stool,Infant,37
C039-M06xbin.66.LR_stool,Infant,52
C039-M06_WCxC039-M06_WC.007_sub.SR_plate,Infant,66
C040-M06_LKVxC040-M06_LKV.001.SR_plate,Infant,93
14-2_95x68_sub.LR_stool,Infant,95
C017-M36xbin.90.SR_stool,Infant,97
C008-M00x22.LR_stool,Infant,97
43-1_12_LKVxbin.5_sub.SR_plate,Infant,7
43-1_73_LKVxbin.4.SR_plate,Infant,46
17-1_16xbin.40_sub.LR_stool,Infant,10
17-2_N11_stoolx17-2_N11_stool.027_sub.SR_stool,Infant,10
47-2_17_DP_LKVx18_sub.SR_plate,Infant,37
17-2_99_LKVx17-2_99_LKV.003.SR_plate,Infant,97
C017-M23_stoolxbin.11.SR_stool,Infant,97
39-2_52xbin.56.SR_stool,Infant,52
40-2_10_DP_LKVx30.SR_plate,Infant,9
17-2_99xbin.79.LR_stool,Infant,16
cat_20-2_76x38.LR_plate,Infant,22
08-1_6_LKVx8.SR_plate,Infant,6
C047-M24_stoolxbin.72.SR_stool,Infant,7
40-2_35x40-2_35_LKV_40-2_35_LKV.001.LR_plate,Infant,35
