MAG,LoPthruTP2,Aggregate_Adjusted_popSNP_Count
C014-M06xC014-M06.020.SR_stool.fasta,0,0.000
C014-M06xC014-M06.020.SR_stool.fasta,0.5,1.112
C014-M06xC014-M06.021.SR_stool.fasta,0,0.000
C014-M06xC014-M06.021.SR_stool.fasta,2.25,1.933
C014-M27_stoolx137.SR_stool.fasta,0,0.000
C014-M27_stoolx137.SR_stool.fasta,2.25,14.112
C014-M27_stoolx137.SR_stool.fasta,3,15.487
C014-M27_stoolxbin.120_sub.SR_stool.fasta,0,0.000
C014-M27_stoolxbin.120_sub.SR_stool.fasta,0.75,5.351
C014-M27_stoolxbin.24_sub.SR_stool.fasta,0,0.000
C014-M27_stoolxbin.24_sub.SR_stool.fasta,0.75,2.319
C014-M27_stoolxbin.42_sub.SR_stool.fasta,0,0.000
C014-M27_stoolxbin.42_sub.SR_stool.fasta,0.5,1.843
C014-M27_stoolxbin.5.SR_stool.fasta,0,0.000
C014-M27_stoolxbin.5.SR_stool.fasta,0.5,3.107
C014-M27_stoolxC014-M27_stool.002_sub.SR_stool.fasta,0,0.000
C014-M27_stoolxC014-M27_stool.002_sub.SR_stool.fasta,0.75,0.000
C014-M27_stoolxC014-M27_stool.015.SR_stool.fasta,0,0.000
C014-M27_stoolxC014-M27_stool.015.SR_stool.fasta,0.75,0.000
C014-M27_stoolxC014-M27_stool.021_sub.SR_stool.fasta,0,0.000
C014-M27_stoolxC014-M27_stool.021_sub.SR_stool.fasta,0.75,0.000
C014-M27_stoolxC014-M27_stool.033_sub.SR_stool.fasta,0,0.000
C014-M27_stoolxC014-M27_stool.033_sub.SR_stool.fasta,0.5,0.000
C014-M27_stoolxC014-M27_stool.049_sub.SR_stool.fasta,0,0.000
C014-M27_stoolxC014-M27_stool.049_sub.SR_stool.fasta,2.25,10.706
C014-M27_WCx46.SR_plate.fasta,0,0.000
C014-M27_WCx46.SR_plate.fasta,0.75,0.000
C014-M27_WCxbin.3.SR_plate.fasta,0,0.000
C014-M27_WCxbin.3.SR_plate.fasta,0.5,0.724
C014-M27_WCxbin.3.SR_plate.fasta,2.25,1.448
C014-M27x65.LR_stool.fasta,0,0.000
C014-M27x65.LR_stool.fasta,0.5,2.507
C014-M27x65.LR_stool.fasta,2.25,7.350
C014-M36_BAPx49_sub.SR_plate.fasta,0,0.000
